index,Burner,Plant,Start,ignition,first_ON,temp_range,temp_begin
83,9,Plant_J,44,0.0,,4.0,35.600006103515625
84,9,Plant_D,2,0.0,,25.79998779296875,53.20001220703125
85,9,Plant_B,42,0.0,,42.19998168945312,36.80001831054688
86,9,Plant_B,102,0.0,,6.79998779296875,32.600006103515625
87,9,Plant_B,103,0.0,,7.5,33.0
88,9,Plant_B,104,0.0,,6.70001220703125,34.899993896484375
89,9,Plant_C,211,0.0,,43.29998779296875,45.600006103515625
90,10,Plant_E,17,0.0,,26.100006103515632,38.5
91,10,Plant_E,42,0.0,,31.600006103515625,49.80001831054688
92,10,Plant_E,44,0.0,,17.300018310546882,37.0
93,10,Plant_B,102,0.0,,6.5,32.70001220703125
94,10,Plant_B,103,0.0,,7.200012207031257,33.100006103515625
95,10,Plant_B,104,0.0,,6.5,35.100006103515625
96,10,Plant_C,118,0.0,,4.699981689453125,32.399993896484375
97,10,Plant_C,120,0.0,,4.70001220703125,24.70001220703125
98,10,Plant_C,121,0.0,,4.70001220703125,22.89999389648437
99,10,Plant_C,346,0.0,,39.20001220703125,49.80001831054688
100,10,Plant_C,347,0.0,,38.899993896484375,32.800018310546875
101,11,Plant_B,11,0.0,,59.5,36.899993896484375
102,11,Plant_B,102,0.0,,6.600006103515625,32.399993896484375
103,11,Plant_B,103,0.0,,6.79998779296875,32.800018310546875
104,11,Plant_B,104,0.0,,6.500000000000007,34.800018310546875
105,11,Plant_C,207,0.0,,4.599975585937496,19.300018310546875
106,11,Plant_C,208,0.0,,4.79998779296875,16.300018310546875
107,11,Plant_C,250,0.0,,4.600006103515625,37.100006103515625
108,11,Plant_C,251,0.0,,4.79998779296875,31.20001220703125
109,11,Plant_C,252,0.0,,4.70001220703125,28.70001220703125
110,11,Plant_C,253,0.0,,2.5,27.100006103515625
111,11,Plant_C,360,0.0,,34.29998779296875,22.600006103515625
112,12,Plant_L,67,0.0,1.597,49.79998779296875,30.300018310546875
113,12,Plant_N,54,0.0,,52.39999389648437,37.30001831054688
114,12,Plant_D,18,0.0,,42.20001220703125,36.100006103515625
115,12,Plant_D,19,0.0,,9.600006103515623,37.100006103515625
116,12,Plant_D,28,0.0,,41.20001220703125,64.39999389648438
117,12,Plant_B,102,0.0,,6.899993896484375,32.70001220703125
118,12,Plant_B,103,0.0,,7.29998779296875,33.20001220703125
119,12,Plant_B,104,0.0,,6.20001220703125,35.0
120,12,Plant_C,255,0.0,,9.399993896484377,28.5
121,12,Plant_C,318,0.0,,9.40002441406251,29.100006103515625
122,12,Plant_C,329,0.0,,7.100006103515632,30.70001220703125
123,13,Plant_J,38,0.0,,2.5,37.399993896484375
124,13,Plant_L,63,0.0,,44.399993896484375,35.800018310546875
125,13,Plant_B,102,0.0,,6.5,32.399993896484375
126,13,Plant_B,103,0.0,,6.399993896484375,32.70001220703125
127,13,Plant_B,104,0.0,,6.199981689453125,34.70001220703125
128,13,Plant_F,4,0.0,,28.899993896484368,55.30001831054688
129,14,Plant_O,110,0.0,,13.600006103515623,21.100006103515625
130,14,Plant_B,76,0.0,,22.300018310546875,34.100006103515625
131,14,Plant_B,77,0.0,,19.29998779296875,34.100006103515625
132,14,Plant_B,102,0.0,,7.400024414062511,31.89999389648437
133,14,Plant_B,103,0.0,,8.399993896484375,32.5
134,14,Plant_B,104,0.0,,7.100006103515632,34.20001220703125
135,14,Plant_F,26,0.0,,26.5,41.600006103515625
136,15,Plant_A,191,0.0,,35.600006103515625,41.0
137,15,Plant_B,51,0.0,,4.70001220703125,34.899993896484375
138,15,Plant_B,52,0.0,,9.600006103515623,35.600006103515625
139,15,Plant_B,54,0.0,,29.200012207031257,34.899993896484375
140,15,Plant_B,55,0.0,,31.9000244140625,35.399993896484375
141,15,Plant_B,56,0.0,,51.399993896484375,34.70001220703125
142,15,Plant_B,57,0.0,,9.79998779296875,32.800018310546875
143,15,Plant_B,102,0.0,,7.20001220703125,32.399993896484375
144,15,Plant_B,103,0.0,,7.5,33.0
145,15,Plant_B,104,0.0,,7.0,34.5
146,15,Plant_F,13,0.0,,55.79998779296875,67.30001831054688
147,15,Plant_F,65,0.0,,9.300018310546877,41.899993896484375
